id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2022_pres_t1;2022;pres;1;69001;Affoux;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;0;0.0;0.0
2022_pres_t1;2022;pres;1;69001;Affoux;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;11;3.48;4.4
2022_pres_t1;2022;pres;1;69001;Affoux;HIDALGO;SOC;Parti Socialiste;Gauche;0;0.0;0.0
2022_pres_t1;2022;pres;1;69001;Affoux;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;6;1.9;2.4
2022_pres_t1;2022;pres;1;69001;Affoux;LASSALLE;DIV;Resistons;Divers;17;5.38;6.8
2022_pres_t1;2022;pres;1;69001;Affoux;LE PEN;RN;Rassemblement National;Extreme droite;88;27.85;35.2
2022_pres_t1;2022;pres;1;69001;Affoux;MACRON;ENS;En Marche / Renaissance;Centre;58;18.35;23.2
2022_pres_t1;2022;pres;1;69001;Affoux;MÉLENCHON;FI;La France Insoumise;Gauche radicale;27;8.54;10.8
2022_pres_t1;2022;pres;1;69001;Affoux;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;0;0.0;0.0
2022_pres_t1;2022;pres;1;69001;Affoux;PÉCRESSE;LR;Les Republicains;Droite;17;5.38;6.8
2022_pres_t1;2022;pres;1;69001;Affoux;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;4;1.27;1.6
2022_pres_t1;2022;pres;1;69001;Affoux;ZEMMOUR;EXD;Reconquete;Extreme droite;22;6.96;8.8
2022_pres_t1;2022;pres;1;69002;Aigueperse;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;1;0.46;0.65
2022_pres_t1;2022;pres;1;69002;Aigueperse;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;7;3.23;4.58
2022_pres_t1;2022;pres;1;69002;Aigueperse;HIDALGO;SOC;Parti Socialiste;Gauche;2;0.92;1.31
2022_pres_t1;2022;pres;1;69002;Aigueperse;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;2;0.92;1.31
