id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2024_euro_t1;2024;euro;1;69001;Affoux;AR;LDVD;Divers droite;Droite;10;3.15;5.75
2024_euro_t1;2024;euro;1;69001;Affoux;BESOIN D'EUROPE;LENS;Ensemble (Renaissance / LREM);Centre;18;5.68;10.34
2024_euro_t1;2024;euro;1;69001;Affoux;CHANGER L'EUROPE;LDVG;Divers gauche;Gauche;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;DEFENDRE LES ENFANTS;LDIV;Divers;Divers;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;DEMOCRATIE REPRESENTATIVE;LDIV;Divers;Divers;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;EAC;LECO;Europe Ecologie Les Verts;Ecologie;1;0.32;0.57
2024_euro_t1;2024;euro;1;69001;Affoux;ECOLOGIE POSITIVE;LECO;Europe Ecologie Les Verts;Ecologie;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;ESPERANTO;LDIV;Divers;Divers;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;EUROPE TERRITOIRES ÉCOLOGIE;LDVG;Divers gauche;Gauche;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;EUROPE ÉCOLOGIE;LVEC;Divers extreme droite;Extreme droite;3;0.95;1.72
2024_euro_t1;2024;euro;1;69001;Affoux;FORTERESSE EUROPE;LEXD;Extreme droite;Extreme droite;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;FRANCE LIBRE;LDIV;Divers;Divers;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;FREE PALESTINE;LDIV;Divers;Divers;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;GAUCHE UNIE;LCOM;Parti Communiste Francais;Gauche radicale;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;HUMANITE SOUVERAINE;LDIV;Divers;Divers;0;0.0;0.0
2024_euro_t1;2024;euro;1;69001;Affoux;L'EUROPE CA SUFFIT !;LEXD;Extreme droite;Extreme droite;3;0.95;1.72
