id_election;id_brut_miom;code_departement;libelle_departement;code_commune;libelle_commune;code_circonscription;libelle_circonscription;code_bv;inscrits;abstentions;votants;nuls;exprimes;ratio_abstentions_inscrits;ratio_votants_inscrits;ratio_nuls_inscrits;ratio_nuls_votants;ratio_exprimes_inscrits;ratio_exprimes_votants;annee;type_election;tour;taux_participation
2022_pres_t1;69001_0001;69;Rhône;69001;Affoux;08;8ème circonscription;0001;316;60;256;2;250;18.99;81.01;0.63;0.78;79.11;97.66;2022;pres;1;81.01
2022_pres_t1;69002_0001;69;Rhône;69002;Aigueperse;09;9ème circonscription;0001;217;58;159;1;153;26.73;73.27;0.46;0.63;70.51;96.23;2022;pres;1;73.27
2022_pres_t1;69003_0001;69;Rhône;69003;Albigny-Sur-Saône;05;5ème circonscription;0001;999;194;805;6;788;19.42;80.58;0.6;0.75;78.88;97.89;2022;pres;1;80.58
2022_pres_t1;69003_0002;69;Rhône;69003;Albigny-Sur-Saône;05;5ème circonscription;0002;862;224;638;4;628;25.99;74.01;0.46;0.63;72.85;98.43;2022;pres;1;74.01
2022_pres_t1;69004_0001;69;Rhône;69004;Alix;09;9ème circonscription;0001;470;73;397;2;389;15.53;84.47;0.43;0.5;82.77;97.98;2022;pres;1;84.47
2022_pres_t1;69005_0001;69;Rhône;69005;Ambérieux;09;9ème circonscription;0001;407;60;347;1;342;14.74;85.26;0.25;0.29;84.03;98.56;2022;pres;1;85.26
2022_pres_t1;69006_0001;69;Rhône;69006;Amplepuis;08;8ème circonscription;0001;864;224;640;5;617;25.93;74.07;0.58;0.78;71.41;96.41;2022;pres;1;74.07
2022_pres_t1;69006_0002;69;Rhône;69006;Amplepuis;08;8ème circonscription;0002;961;233;728;6;710;24.25;75.75;0.62;0.82;73.88;97.53;2022;pres;1;75.75
2022_pres_t1;69006_0003;69;Rhône;69006;Amplepuis;08;8ème circonscription;0003;719;152;567;8;537;21.14;78.86;1.11;1.41;74.69;94.71;2022;pres;1;78.86
2022_pres_t1;69006_0004;69;Rhône;69006;Amplepuis;08;8ème circonscription;0004;959;192;767;5;745;20.02;79.98;0.52;0.65;77.69;97.13;2022;pres;1;79.98
2022_pres_t1;69007_0001;69;Rhône;69007;Ampuis;11;11ème circonscription;0001;1375;269;1106;10;1078;19.56;80.44;0.73;0.9;78.4;97.47;2022;pres;1;80.44
2022_pres_t1;69007_0002;69;Rhône;69007;Ampuis;11;11ème circonscription;0002;763;136;627;5;615;17.82;82.18;0.66;0.8;80.6;98.09;2022;pres;1;82.18
2022_pres_t1;69008_0001;69;Rhône;69008;Ancy;08;8ème circonscription;0001;494;71;423;2;417;14.37;85.63;0.4;0.47;84.41;98.58;2022;pres;1;85.63
