code_commune;population_2022;population_2016;nb_logements_2022;nb_logements_2016;nb_residences_principales_2022;nb_residences_principales_2016;nb_logements_vacants_2022;nb_logements_vacants_2016;superficie_km2;densite_2022;densite_2016
69001;397;358;181.394436308723;162.98719253166;153.300141059776;135.076517150396;12.4863534439763;13.4384733317195;10.65;37.28;33.62
69002;239;251;196.061188289152;198.32837398374;118.394521622485;120.39837398374;35.5582329317269;24.9376;12.95;18.46;19.38
69003;3013;2833;1247.25605227444;1128.91061946902;1124.66488647712;980.999999999994;99.094525686167;128.792920353982;2.57;1172.37;1102.33
69004;772;758;302.585473923791;292.560510790251;269.776913693573;255.398230088497;27.3404668585144;26.2321981424149;3.61;213.85;209.97
69005;629;571;249.393149593492;219.62185564404;231.374650068326;207.547781569966;16.8560156848328;12.0740740740741;4.55;138.24;125.49
69006;4858;5024;2688.13374896263;2724.17117146588;2264.68262986978;2250.88570391098;335.565037771697;384.146500571464;38.44;126.38;130.7
69007;2760;2712;1320.79888000305;1241.35801200026;1197.44060442492;1127.4226487524;109.317496244033;89.4533843681571;15.57;177.26;174.18
69008;674;628;307.625309768355;285.974893927668;259.488995417628;238.505359877489;32.9822894625356;23.7347670250896;11.84;56.93;53.04
69009;8139;7094;3422.0;2915.0;3243.0;2703.0;130.0;155.0;15.23;534.41;465.79
69010;6469;6421;3355.0;3092.0;2910.0;2711.0;389.0;340.0;3.36;1925.3;1911.01
69012;616;627;300.367556150725;291.716210906804;256.298026498373;254.464285714285;28.2320424335379;13.1477383032421;23.1;26.67;27.14
69013;4408;3686;1871.49438227357;1512.10308256975;1742.78962502106;1421.99012345679;104.630486111752;77.4971448371448;17.52;251.6;210.39
69014;1108;1136;471.0;463.0;420.0;393.0;23.0;28.0;16.64;66.59;68.27
69016;122;121;86.0;85.0;53.0;47.0;6.0;15.0;4.18;29.19;28.95
69017;758;705;358.581093614453;333.82232013121;311.399079184969;279.615487259557;21.4463701952196;23.5237199254342;7.35;103.13;95.92
69018;2103;2122;1250.81753855037;1192.89907497833;973.662301864443;938.550968612494;196.155642865745;181.956722246327;17.85;117.82;118.88
69019;13767;12776;6346.56801739466;5765.15345129068;5864.54190368823;5336.01702664355;399.027923652773;371.300524057994;22.86;602.23;558.88
69020;717;635;290.0;251.0;275.0;238.0;8.0;9.0;1.51;474.83;420.53
69021;2351;2266;1148.90864179019;1033.57789855072;998.209224507732;897.999999999999;87.7359621165014;78.9184782608696;14.01;167.81;161.74
69022;543;574;266.805687221042;258.146067415481;228.256950758948;218.999999999751;18.259927797834;15.0561797752809;5.23;103.82;109.75
69023;1692;1583;740.152545992945;688.101363838424;653.894942413527;590.489511986572;44.7261648189577;63.040987654321;11.0;153.82;143.91
69024;4143;3966;2019.84170063749;1813.85430623415;1805.1724758135;1585.85430623415;115.51248764338;118.366858237548;18.1;228.9;219.12
69026;528;524;218.0;211.0;194.0;186.0;14.0;13.0;5.63;93.78;93.07
69027;12330;11265;5814.28018488729;5062.97466031834;5499.47647781157;4717.12741493263;231.885208784923;296.62804309058;10.36;1190.15;1087.36
69028;6718;6067;2850.70298999891;2501.47204616799;2685.1179896903;2352.44289422453;123.940868494469;111.021717219627;11.27;596.1;538.33
69029;42850;41060;19938.211638656;18941.2887645632;18398.5314194419;17497.4887093253;1228.02438287125;1195.64309276413;10.3;4160.19;3986.41
69030;823;818;403.07571134316;396.347487936419;334.84199846847;326.998769987701;38.8226297390475;32.2994028802248;12.25;67.18;66.78
69031;1378;1373;586.704986823708;571.42;524.401453114854;511.0;41.2007239042422;33.92;6.74;204.45;203.71
69032;2144;2021;961.415546912592;876.136334317358;841.374551551752;765.720984430225;83.4183188100756;70.5173663144716;12.59;170.29;160.52
69033;2951;2642;1168.60823546414;1028.38244514101;1101.81073323399;985.999999999949;56.5209634255129;36.025078369906;8.69;339.59;304.03
69034;43479;42915;23277.0727696615;21797.8207375019;21131.7266424393;19679.5798235131;1674.37515620201;1620.76527796791;10.45;4160.67;4106.7
69035;393;399;242.727228389497;242.09225413403;167.393895056163;167.425587467363;26.4684684684685;30.4561403508772;26.48;14.84;15.07
69036;1135;1123;498.47882036381;490.043222003929;451.956862614378;430.0;37.4198355810651;49.8664047151277;4.94;229.76;227.33
69037;819;833;438.081406819096;449.927272727276;365.91889799466;347.000000000003;30.0677120101816;61.5545454545455;14.14;57.92;58.91
69038;923;939;509.80714075564;515.455080789576;402.146962724725;393.42017319204;49.0333484101193;56.0700926799489;15.44;59.78;60.82
69039;703;669;367.157518112878;341.314575117134;300.243463981444;279.567448680352;35.4847256757604;29.9655172413793;14.43;48.72;46.36
69040;6124;5603;3164.34688418211;2802.31797213785;2862.72865474644;2571.94608740265;244.036567452496;185.277813680652;2.59;2364.48;2163.32
69042;566;578;240.22725552511;237.386225266363;218.910009148298;216.750000000001;15.7074446987033;13.1321433513214;6.58;86.02;87.84
69043;9217;8577;4032.7918955889;3615.61948158225;3712.85513954923;3384.79611201703;257.576201896347;167.018535701661;16.32;564.77;525.55
69044;5272;5016;2677.123402838;2244.15004336516;2373.25295463308;2108.00000000003;255.670308144825;103.636600173461;4.13;1276.51;1214.53
69045;1269;1240;584.01526343714;546.909620452714;523.915596233705;486.406888212277;35.4158753163101;37.9270858820651;13.78;92.09;89.99
69046;4670;4529;1979.41279260264;1800.33783783765;1883.8050648719;1718.99999999981;74.5950403173861;69.8671171171171;5.09;917.49;889.78
69047;1031;1062;488.673541929358;476.150189004659;417.175770386272;399.697251991212;28.1657887897006;34.4970569450917;7.06;146.03;150.42
69049;2901;2775;1281.5596674585;1173.18384476534;1173.59311564313;1081.025;85.1736130987958;60.6308189245677;12.78;227.0;217.14
69050;2184;2158;1017.13172138403;996.138247301881;907.11199386387;904.686292364837;77.1272316636177;64.9790206131631;10.71;203.92;201.49
69051;1215;1117;506.079491640519;473.511982570807;464.58100783709;426.000000000001;23.2796372555821;32.3485838779956;7.89;153.99;141.57
69052;4270;4130;1887.49381397541;1794.77023945271;1792.22626336902;1679.00000000003;59.6730811490542;88.1083238312429;5.94;718.86;695.29
69053;534;551;285.004996774922;291.494983274473;223.004996774922;216.999999996881;25.0;47.314381270903;8.18;65.28;67.36
69054;365;327;247.971837137879;249.999999999999;164.335821812209;159.999999999999;19.1455938697318;20.0;11.02;33.12;29.67
69055;1504;1451;665.521931875904;613.539648461815;612.301154400691;569.215416379904;39.6736704815224;34.8935444049089;5.46;275.46;265.75
69056;2058;2056;861.0;819.0;806.0;770.0;40.0;38.0;4.55;452.31;451.87
