code_commune;revenu_median_2017;taux_pauvrete_2017;part_chomeurs_2017;part_foyers_imposes_2017;d1_revenu_2017;d9_revenu_2017;ratio_interdecile_2017
69001;22610.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69002;19550.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69003;23390.0;10.0;3.7;61.0;12500.0;45230.0;3.6
69004;25360.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69005;25820.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69006;19180.0;14.0;2.5;41.0;11430.0;31870.0;2.8
69007;24550.0;9.45;2.0;65.0;15150.0;41470.0;2.7
69008;22710.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69009;23110.0;8.0;2.7;58.0;13650.0;37930.0;2.8
69010;21320.0;14.0;3.1;51.0;11540.0;34390.0;3.0
69012;21320.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69013;23160.0;7.0;2.8;61.0;13820.0;38450.0;2.8
69014;21360.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69016;18540.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69017;25770.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69018;19700.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69019;20450.0;12.0;3.3;46.0;12080.0;32130.0;2.7
69020;24540.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69021;22910.0;9.45;3.2;58.0;14350.0;35760.0;2.5
69022;23770.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69023;24110.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69024;24050.0;6.0;2.5;63.0;14470.0;39970.0;2.8
69026;23630.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69027;24490.0;8.0;2.5;64.0;13430.0;42390.0;3.2
69028;27320.0;5.0;2.3;69.0;15550.0;47440.0;3.1
69029;20110.0;20.0;3.5;53.0;10120.0;37630.0;3.7
69030;23180.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69031;22910.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69032;24770.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69033;31460.0;9.45;2.0;80.0;18570.0;53600.0;2.9
69034;25010.0;10.0;2.7;66.0;12850.0;49270.0;3.8
69035;22490.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69036;22280.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69037;20970.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69038;20160.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69039;21410.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69040;25510.0;9.0;2.9;66.0;13190.0;49580.0;3.8
69042;22180.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69043;28660.0;5.0;2.3;72.0;15520.0;52220.0;3.4
69044;34680.0;5.0;2.2;77.0;16380.0;70010.0;4.3
69045;22680.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69046;31190.0;9.45;2.0;77.0;17300.0;56840.0;3.3
69047;29270.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69049;29760.0;9.45;2.6;73.0;16870.0;54380.0;3.2
69050;25960.0;9.45;2.6;66.0;14690.0;42940.0;2.9
69051;23480.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69052;28460.0;9.45;2.2;71.0;16860.0;46920.0;2.8
69053;23190.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69054;22110.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69055;25450.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69056;24270.0;9.45;2.3;65.0;15520.0;36660.0;2.4
69057;25280.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69058;20650.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69059;26040.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69060;20180.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69061;25400.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69062;20360.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69063;32080.0;5.0;2.6;75.0;15720.0;69430.0;4.4
69064;22110.0;10.0;2.9;55.0;12580.0;38330.0;3.0
69065;22940.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69066;19930.0;11.0;2.9;43.0;12240.0;33090.0;2.7
69067;21140.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69068;25450.0;9.45;3.3;63.0;13460.0;45900.0;3.4
69069;25200.0;7.0;2.8;66.0;14040.0;43340.0;3.1
69070;21070.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69071;30270.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69072;30510.0;5.0;2.5;73.0;15690.0;60000.0;3.8
69074;25500.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69075;22650.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69076;31560.0;9.45;2.3;76.0;17510.0;60320.0;3.4
69077;23250.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69078;21640.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69080;23770.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69081;27610.0;10.0;2.2;67.0;12720.0;59610.0;4.7
69082;22100.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69083;27510.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69084;21250.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69085;27880.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69086;26980.0;9.45;3.0;70.0;16620.0;43220.0;2.6
69087;30570.0;9.45;2.4;73.0;16330.0;61850.0;3.8
69088;23160.0;11.0;3.0;61.0;12360.0;41700.0;3.4
69089;25960.0;7.0;2.9;69.0;14120.0;47250.0;3.3
69090;25630.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69091;16790.0;28.0;4.6;36.0;8940.0;28180.0;3.2
69092;21840.0;13.0;2.8;52.0;11850.0;38370.0;3.2
69093;19480.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69094;25380.0;6.0;3.0;67.0;14650.0;43620.0;3.0
69095;21120.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69096;19900.0;15.0;3.8;48.0;11350.0;30690.0;2.7
69097;22350.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69098;19980.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69099;20200.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69100;23610.0;11.0;2.8;62.0;12140.0;40220.0;3.3
69102;20560.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69103;22180.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69104;20190.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69105;25170.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69106;29920.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69107;20880.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69108;22350.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69109;22080.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69110;21270.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69111;26280.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69112;27310.0;5.0;3.0;70.0;16010.0;48280.0;3.0
69113;21860.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69115;23590.0;11.0;2.7;59.0;12310.0;40150.0;3.3
