code_commune;revenu_median_2021;d1_revenu_2021;d9_revenu_2021;ratio_interdecile_2021;part_chomeurs_2021;part_foyers_imposes_2021;nb_menages_2021;nb_personnes_menages_2021
69001;24970.0;15500.0;45225.0;3.05;2.6;-18.35;138.0;349.0
69002;21290.0;15500.0;45225.0;3.05;2.6;-18.35;112.0;227.0
69003;27080.0;13400.0;47970.0;3.6;2.6;-20.8;1085.0;2568.0
69004;26980.0;15500.0;45225.0;3.05;2.6;-18.35;260.0;699.0
69005;25550.0;15500.0;45225.0;3.05;2.6;-18.35;213.0;575.0
69006;21120.0;12000.0;33080.0;2.8;2.8;-13.0;2196.0;4671.0
69007;26440.0;16410.0;45180.0;2.8;2.5;-21.5;1182.0;2682.0
69008;25170.0;15500.0;45225.0;3.05;2.6;-18.35;256.0;670.0
69009;24690.0;13760.0;40610.0;3.0;3.0;-16.6;3110.0;7621.0
69010;23450.0;12780.0;36940.0;2.9;3.1;-14.5;2808.0;6272.0
69012;24030.0;15500.0;45225.0;3.05;2.6;-18.35;222.0;540.0
69013;24910.0;14460.0;40730.0;2.8;2.8;-16.0;1704.0;4205.0
69014;22620.0;15500.0;45225.0;3.05;2.6;-18.35;397.0;1003.0
69016;23200.0;15500.0;45225.0;3.05;2.6;-18.35;52.0;115.0
69017;26690.0;15500.0;45225.0;3.05;2.6;-18.35;309.0;754.0
69018;21680.0;15500.0;45225.0;3.05;2.6;-18.35;874.0;1752.0
69019;22210.0;12930.0;34350.0;2.7;3.3;-13.4;5875.0;13587.0
69020;29010.0;15500.0;45225.0;3.05;2.6;-18.35;259.0;673.0
69021;24500.0;14980.0;38560.0;2.6;3.4;-16.4;965.0;2274.0
69022;24520.0;15500.0;45225.0;3.05;2.6;-18.35;210.0;506.0
69023;27320.0;15500.0;45225.0;3.05;2.6;-18.35;617.0;1576.0
69024;26650.0;16100.0;43560.0;2.7;2.2;-17.2;1809.0;4328.0
69026;26280.0;15500.0;45225.0;3.05;2.6;-18.35;188.0;517.0
69027;26720.0;13980.0;45690.0;3.3;2.7;-18.0;5284.0;12267.0
69028;29700.0;16290.0;52560.0;3.2;2.3;-20.8;2621.0;6809.0
69029;21950.0;10730.0;40330.0;3.8;3.2;-16.7;16960.0;38686.0
69030;24700.0;15500.0;45225.0;3.05;2.6;-18.35;333.0;817.0
69031;25730.0;15500.0;45225.0;3.05;2.6;-18.35;507.0;1358.0
