code_commune;libelle_commune;annee;total_delits
69001;Affoux;2017;0.0
69001;Affoux;2022;0.0
69001;Affoux;2024;0.0
69002;Aigueperse;2017;0.0
69002;Aigueperse;2022;0.0
69002;Aigueperse;2024;0.0
69003;Albigny-sur-Saône;2017;68.0
69003;Albigny-sur-Saône;2022;88.0
69003;Albigny-sur-Saône;2024;139.0
69004;Alix;2017;0.0
69004;Alix;2022;0.0
69004;Alix;2024;0.0
69005;Ambérieux;2017;0.0
69005;Ambérieux;2022;0.0
69005;Ambérieux;2024;10.0
69006;Amplepuis;2017;154.0
69006;Amplepuis;2022;202.0
69006;Amplepuis;2024;172.0
69007;Ampuis;2017;56.0
69007;Ampuis;2022;42.0
69007;Ampuis;2024;83.0
69008;Ancy;2017;0.0
69008;Ancy;2022;0.0
69008;Ancy;2024;0.0
69009;Anse;2017;323.0
69009;Anse;2022;381.0
69009;Anse;2024;378.0
69010;L'Arbresle;2017;260.0
69010;L'Arbresle;2022;313.0
69010;L'Arbresle;2024;247.0
69012;Les Ardillats;2017;0.0
69012;Les Ardillats;2022;0.0
69012;Les Ardillats;2024;0.0
69013;Arnas;2017;99.0
69013;Arnas;2022;140.0
69013;Arnas;2024;183.0
69014;Aveize;2017;0.0
69014;Aveize;2022;0.0
69014;Aveize;2024;0.0
69016;Azolette;2017;0.0
69016;Azolette;2022;0.0
69016;Azolette;2024;0.0
69017;Bagnols;2017;0.0
69017;Bagnols;2022;0.0
69017;Bagnols;2024;0.0
69018;Beaujeu;2017;27.0
69018;Beaujeu;2022;36.0
69018;Beaujeu;2024;46.0
69019;Belleville-en-Beaujolais;2017;392.0
69019;Belleville-en-Beaujolais;2022;507.0
69019;Belleville-en-Beaujolais;2024;566.0
69020;Belmont-d'Azergues;2017;0.0
69020;Belmont-d'Azergues;2022;0.0
69020;Belmont-d'Azergues;2024;0.0
69021;Bessenay;2017;12.0
69021;Bessenay;2022;35.0
69021;Bessenay;2024;18.0
69022;Bibost;2017;0.0
69022;Bibost;2022;0.0
69022;Bibost;2024;0.0
69023;Blacé;2017;0.0
69023;Blacé;2022;0.0
69023;Blacé;2024;8.0
69024;Val d'Oingt;2017;45.0
69024;Val d'Oingt;2022;93.0
69024;Val d'Oingt;2024;95.0
69026;Le Breuil;2017;0.0
69026;Le Breuil;2022;0.0
69026;Le Breuil;2024;0.0
69027;Brignais;2017;542.0
69027;Brignais;2022;553.0
69027;Brignais;2024;600.0
69028;Brindas;2017;122.0
69028;Brindas;2022;167.0
69028;Brindas;2024;185.0
69029;Bron;2017;3035.0
69029;Bron;2022;2823.0
69029;Bron;2024;2780.0
69030;Brullioles;2017;0.0
69030;Brullioles;2022;0.0
69030;Brullioles;2024;0.0
69031;Brussieu;2017;0.0
69031;Brussieu;2022;0.0
