id_election;annee;type_election;tour;code_departement;libelle_departement;code_commune;libelle_commune;inscrits;abstentions;votants;nuls;exprimes;taux_participation;taux_abstention;taux_nuls_inscrits;taux_exprimes_inscrits
2014_euro_t1;2014;euro;1;69;Rhône;69001;Affoux;251;122;129;5;124;51.39;48.61;1.99;49.4
2014_euro_t1;2014;euro;1;69;Rhône;69002;Aigueperse;220;127;93;12;81;42.27;57.73;5.45;36.82
2014_euro_t1;2014;euro;1;69;Rhône;69003;Albigny-Sur-Saône;1656;937;719;15;704;43.42;56.58;0.91;42.51
2014_euro_t1;2014;euro;1;69;Rhône;69004;Alix;402;195;207;3;204;51.49;48.51;0.75;50.75
2014_euro_t1;2014;euro;1;69;Rhône;69005;Ambérieux;411;236;175;4;171;42.58;57.42;0.97;41.61
2014_euro_t1;2014;euro;1;69;Rhône;69006;Amplepuis;3720;2221;1499;62;1437;40.3;59.7;1.67;38.63
2014_euro_t1;2014;euro;1;69;Rhône;69007;Ampuis;1967;1085;882;32;850;44.84;55.16;1.63;43.21
2014_euro_t1;2014;euro;1;69;Rhône;69008;Ancy;463;225;238;17;221;51.4;48.6;3.67;47.73
2014_euro_t1;2014;euro;1;69;Rhône;69009;Anse;4219;2463;1756;53;1703;41.62;58.38;1.26;40.37
2014_euro_t1;2014;euro;1;69;Rhône;69010;L'Arbresle;3951;2280;1671;35;1636;42.29;57.71;0.89;41.41
2014_euro_t1;2014;euro;1;69;Rhône;69012;Les Ardillats;496;297;199;8;191;40.12;59.88;1.61;38.51
2014_euro_t1;2014;euro;1;69;Rhône;69013;Arnas;2445;1538;907;25;882;37.1;62.9;1.02;36.07
2014_euro_t1;2014;euro;1;69;Rhône;69014;Aveize;803;446;357;20;337;44.46;55.54;2.49;41.97
2014_euro_t1;2014;euro;1;69;Rhône;69015;Avenas;106;43;63;1;62;59.43;40.57;0.94;58.49
2014_euro_t1;2014;euro;1;69;Rhône;69016;Azolette;121;49;72;7;65;59.5;40.5;5.79;53.72
2014_euro_t1;2014;euro;1;69;Rhône;69017;Bagnols;565;286;279;10;269;49.38;50.62;1.77;47.61
2014_euro_t1;2014;euro;1;69;Rhône;69018;Beaujeu;1263;753;510;20;490;40.38;59.62;1.58;38.8
2014_euro_t1;2014;euro;1;69;Rhône;69019;Belleville;4456;2859;1597;56;1541;35.84;64.16;1.26;34.58
2014_euro_t1;2014;euro;1;69;Rhône;69020;Belmont-D'Azergues;484;243;241;15;226;49.79;50.21;3.1;46.69
2014_euro_t1;2014;euro;1;69;Rhône;69021;Bessenay;1536;795;741;42;699;48.24;51.76;2.73;45.51
2014_euro_t1;2014;euro;1;69;Rhône;69022;Bibost;364;195;169;6;163;46.43;53.57;1.65;44.78
2014_euro_t1;2014;euro;1;69;Rhône;69023;Blacé;1048;543;505;16;489;48.19;51.81;1.53;46.66
2014_euro_t1;2014;euro;1;69;Rhône;69024;Le Bois-D'Oingt;1737;954;783;21;762;45.08;54.92;1.21;43.87
