id_election;annee;type_election;code_commune;libelle_commune;famille_gagnante;euro_centre_ratio;euro_divers_ratio;euro_droite_ratio;euro_extreme_droite_ratio;euro_extreme_gauche_ratio;euro_gauche_ratio;euro_gauche_radicale_ratio;euro_famille_gagnante;euro_taux_participation;euro_droite_souverainiste_ratio;euro_ecologie_ratio;population;nb_logements;nb_residences_principales;nb_logements_vacants;densite;superficie_km2;actifs_2022;chomeurs_2022;actifs_occupes_2022;inactifs_2022;taux_chomage_2022;revenu_median;taux_pauvrete;part_chomeurs;part_foyers_imposes;d1_revenu;d9_revenu;ratio_interdecile;nb_immigres;nb_non_immigres;total_delits;nb_menages;nb_personnes_menages
2017_legi_t1;2017;legi;69001;Affoux;Droite;9.68;9.68;28.23;37.9;1.61;10.48;2.42;Extreme droite;51.39;;;358.0;162.98719253166;135.076517150396;13.4384733317195;33.62;10.65;220.265899012915;5.96156213354895;214.304336879366;33.697223219178;2.71;22610.0;9.45;2.7;65.0;14235.0;41635.0;3.0;6;363;0.0;;
2017_legi_t1;2017;legi;69002;Aigueperse;Droite;11.11;0.0;37.04;43.21;2.47;4.94;1.23;Extreme droite;42.27;;;251.0;198.32837398374;120.39837398374;24.9376;19.38;12.95;105.061320088075;3.13426221210531;101.92705787597;25.713796787792;2.98;19550.0;9.45;2.7;65.0;14235.0;41635.0;3.0;4;244;0.0;;
2017_legi_t1;2017;legi;69003;Albigny-Sur-Saône;Centre;12.5;2.13;35.8;30.68;0.57;16.05;2.27;Droite;43.42;;;2833.0;1128.91061946902;980.999999999994;128.792920353982;1102.33;2.57;1301.17036910176;130.353646786336;1170.81672231542;404.220484390803;10.02;23390.0;10.0;3.7;61.0;12500.0;45230.0;3.6;247;2633;68.0;;
2017_legi_t1;2017;legi;69004;Alix;Centre;9.8;3.43;27.94;36.27;1.47;15.69;5.39;Extreme droite;51.49;;;758.0;292.560510790251;255.398230088497;26.2321981424149;209.97;3.61;347.823552619808;23.7438073102117;324.079745309596;91.5992010935678;6.83;25360.0;9.45;2.7;65.0;14235.0;41635.0;3.0;22;741;0.0;;
2017_legi_t1;2017;legi;69005;Ambérieux;Centre;4.68;2.92;25.15;51.46;0.58;9.94;5.26;Extreme droite;42.58;;;571.0;219.62185564404;207.547781569966;12.0740740740741;125.49;4.55;333.602849512284;14.9682935048148;318.634556007469;66.3472257423387;4.49;25820.0;9.45;2.7;65.0;14235.0;41635.0;3.0;51;527;0.0;;
2017_legi_t1;2017;legi;69006;Amplepuis;Droite;11.41;2.92;30.13;38.97;1.25;11.76;3.55;Extreme droite;40.3;;;5024.0;2724.17117146588;2250.88570391098;384.146500571464;130.7;38.44;2137.87233526537;249.986812444328;1887.88552282104;639.818660269009;11.69;19180.0;14.0;2.5;41.0;11430.0;31870.0;2.8;299;4677;154.0;;
2017_legi_t1;2017;legi;69007;Ampuis;Centre;9.06;2.47;31.53;37.76;0.35;15.18;3.65;Extreme droite;44.84;;;2712.0;1241.35801200026;1127.4226487524;89.4533843681571;174.18;15.57;1344.52049291168;67.0575805194989;1277.46291239219;361.354322687921;4.99;24550.0;9.45;2.0;65.0;15150.0;41470.0;2.7;93;2620;56.0;;
2017_legi_t1;2017;legi;69008;Ancy;Droite;8.6;4.52;30.77;39.82;0.9;11.76;3.62;Droite;51.4;;;628.0;285.974893927668;238.505359877489;23.7347670250896;53.04;11.84;334.908649855132;13.9684138906576;320.940235964474;82.9106103666214;4.17;22710.0;9.45;2.7;65.0;14235.0;41635.0;3.0;11;629;0.0;;
2017_legi_t1;2017;legi;69009;Anse;Centre;11.74;3.35;30.48;32.71;0.88;16.44;4.4;Extreme droite;41.62;;;7094.0;2915.0;2703.0;155.0;465.79;15.23;4019.0;330.0;3689.0;1002.0;8.21;23110.0;8.0;2.7;58.0;13650.0;37930.0;2.8;555;6623;323.0;;
2017_legi_t1;2017;legi;69010;L'Arbresle;Centre;11.8;4.34;23.59;31.91;1.04;19.99;7.33;Extreme droite;42.29;;;6421.0;3092.0;2711.0;340.0;1911.01;3.36;3147.0;290.0;2857.0;948.0;9.22;21320.0;14.0;3.1;51.0;11540.0;34390.0;3.0;635;5763;260.0;;
2017_legi_t1;2017;legi;69012;Les Ardillats;Droite;6.81;5.24;25.65;39.27;2.62;13.61;6.81;Extreme droite;40.12;;;627.0;291.716210906804;254.464285714285;13.1477383032421;27.14;23.1;296.98271590888;9.62082658484789;287.361889324032;62.464465962217;3.24;21320.0;9.45;2.7;65.0;14235.0;41635.0;3.0;8;614;0.0;;
2017_legi_t1;2017;legi;69013;Arnas;Centre;9.75;3.74;29.48;39.34;1.02;13.27;3.4;Extreme droite;37.1;;;3686.0;1512.10308256975;1421.99012345679;77.4971448371448;210.39;17.52;2069.96207361486;151.214643135065;1918.7474304798;561.647705088224;7.31;23160.0;7.0;2.8;61.0;13820.0;38450.0;2.8;209;3569;99.0;;
2017_legi_t1;2017;legi;69014;Aveize;Centre;14.84;2.37;31.16;39.17;0.3;8.61;3.56;Extreme droite;44.46;;;1136.0;463.0;393.0;28.0;68.27;16.64;521.0;17.0;504.0;130.0;3.26;21360.0;9.45;2.7;65.0;14235.0;41635.0;3.0;14;1113;0.0;;
2017_legi_t1;2017;legi;69015;Avenas;Droite;9.68;9.68;32.26;24.19;1.61;9.68;12.9;Droite;59.43;;;;;;;;;;;;;;;;;;;;;;;;;
2017_legi_t1;2017;legi;69016;Azolette;Droite;10.77;3.08;46.15;30.77;1.54;7.69;0.0;Droite;59.5;;;121.0;85.0;47.0;15.0;28.95;4.18;56.0;5.0;51.0;11.0;8.93;18540.0;9.45;2.7;65.0;14235.0;41635.0;3.0;4;116;0.0;;
2017_legi_t1;2017;legi;69017;Bagnols;Centre;11.9;5.95;23.42;40.15;1.12;13.01;4.46;Extreme droite;49.38;;;705.0;333.82232013121;279.615487259557;23.5237199254342;95.92;7.35;363.226524547263;13.0300122668808;350.196512280382;81.2769664494656;3.59;25770.0;9.45;2.7;65.0;14235.0;41635.0;3.0;37;694;0.0;;
2017_legi_t1;2017;legi;69018;Beaujeu;Droite;15.92;3.88;31.63;32.24;1.22;12.04;3.06;Droite;40.38;;;2122.0;1192.89907497833;938.550968612494;181.956722246327;118.88;17.85;954.142718942555;66.089425833019;888.053293109536;250.129784586352;6.93;19700.0;9.45;2.7;65.0;14235.0;41635.0;3.0;99;2058;27.0;;
2017_legi_t1;2017;legi;69019;Belleville;Centre;12.01;2.34;26.67;40.62;1.49;14.15;2.73;Extreme droite;35.84;;;12776.0;5765.15345129068;5336.01702664355;371.300524057994;558.88;22.86;6698.08946538159;663.015765316498;6035.07370006509;1759.19674048781;9.9;20450.0;12.0;3.3;46.0;12080.0;32130.0;2.7;1319;11652;392.0;;
2017_legi_t1;2017;legi;69020;Belmont-D'Azergues;Centre;15.04;4.87;22.57;34.51;0.44;16.81;5.75;Extreme droite;49.79;;;635.0;251.0;238.0;9.0;420.53;1.51;365.0;18.0;347.0;82.0;4.93;24540.0;9.45;2.7;65.0;14235.0;41635.0;3.0;25;606;0.0;;
2017_legi_t1;2017;legi;69021;Bessenay;Centre;12.3;4.29;28.33;33.76;0.57;14.88;5.87;Droite;48.24;;;2266.0;1033.57789855072;897.999999999999;78.9184782608696;161.74;14.01;1080.78890535808;71.4166001325075;1009.37230522557;311.944288391764;6.61;22910.0;9.45;3.2;58.0;14350.0;35760.0;2.5;83;2210;12.0;;
2017_legi_t1;2017;legi;69022;Bibost;Droite;6.13;4.29;28.22;44.17;0.61;12.27;4.29;Extreme droite;46.43;;;574.0;258.146067415481;218.999999999751;15.0561797752809;109.75;5.23;276.730646201802;12.524766018411;264.205880183392;62.9934254820341;4.53;23770.0;9.45;2.7;65.0;14235.0;41635.0;3.0;7;568;0.0;;
2017_legi_t1;2017;legi;69023;Blacé;Centre;7.98;3.27;33.95;40.9;0.41;11.45;2.04;Extreme droite;48.19;;;1583.0;688.101363838424;590.489511986572;63.040987654321;143.91;11.0;806.284830432519;32.5112947901129;773.773535642406;188.55682149003;4.03;24110.0;9.45;2.7;65.0;14235.0;41635.0;3.0;48;1583;0.0;;
2017_legi_t1;2017;legi;69024;Le Bois-D'Oingt;Centre;11.94;3.28;29.27;31.63;0.79;16.8;6.3;Droite;45.08;;;3966.0;1813.85430623415;1585.85430623415;118.366858237548;219.12;18.1;1884.51851746436;117.458344402945;1767.06017306142;540.334596021282;6.23;24050.0;6.0;2.5;63.0;14470.0;39970.0;2.8;106;3931;45.0;;
2017_legi_t1;2017;legi;69026;Le Breuil;Droite;10.74;4.7;29.53;40.94;0.0;13.42;0.67;Extreme droite;45.43;;;524.0;211.0;186.0;13.0;93.07;5.63;272.0;18.0;254.0;60.0;6.62;23630.0;9.45;2.7;65.0;14235.0;41635.0;3.0;19;511;0.0;;
2017_legi_t1;2017;legi;69027;Brignais;Centre;13.14;3.18;32.36;28.34;0.69;18.01;4.27;Droite;41.4;;;11265.0;5062.97466031834;4717.12741493263;296.62804309058;1087.36;10.36;5794.65213297244;454.129082028319;5340.52305094412;1535.01847900315;7.84;24490.0;8.0;2.5;64.0;13430.0;42390.0;3.2;1206;10228;542.0;;
2017_legi_t1;2017;legi;69028;Brindas;Centre;10.86;2.72;34.02;31.76;0.61;16.24;3.79;Droite;48.98;;;6067.0;2501.47204616799;2352.44289422453;111.021717219627;538.33;11.27;3332.55755707497;182.342590811604;3150.21496626337;905.207602277036;5.47;27320.0;5.0;2.3;69.0;15550.0;47440.0;3.1;262;5912;122.0;;
2017_legi_t1;2017;legi;69029;Bron;Centre;9.49;3.43;27.22;32.11;0.94;20.74;6.07;Extreme droite;40.82;;;41060.0;18941.2887645632;17497.4887093253;1195.64309276413;3986.41;10.3;19896.1566266708;2477.43376128473;17418.7228653861;7162.29957357035;12.45;20110.0;20.0;3.5;53.0;10120.0;37630.0;3.7;7847;33696;3035.0;;
2017_legi_t1;2017;legi;69030;Brullioles;Droite;5.98;3.19;33.07;42.23;0.8;13.94;0.8;Extreme droite;41.91;;;818.0;396.347487936419;326.998769987701;32.2994028802248;66.78;12.25;416.385543029643;13.8762921882427;402.5092508414;102.487464293849;3.33;23180.0;9.45;2.7;65.0;14235.0;41635.0;3.0;11;805;0.0;;
2017_legi_t1;2017;legi;69031;Brussieu;Centre;10.0;6.25;23.75;40.31;1.56;14.37;3.75;Extreme droite;44.19;;;1373.0;571.42;511.0;33.92;203.71;6.74;743.221221071571;42.198761083747;701.022459987824;135.76876883308;5.68;22910.0;9.45;2.7;65.0;14235.0;41635.0;3.0;34;1342;0.0;;
2017_legi_t1;2017;legi;69032;Bully;Centre;11.62;3.59;29.23;37.95;0.51;14.02;3.08;Extreme droite;41.71;;;2021.0;876.136334317358;765.720984430225;70.5173663144716;160.52;12.59;1069.47228019001;56.0572302593417;1013.41504993067;224.512683671017;5.24;24770.0;9.45;2.7;65.0;14235.0;41635.0;3.0;61;1921;20.0;;
2017_legi_t1;2017;legi;69033;Cailloux-Sur-Fontaines;Centre;11.66;2.97;38.63;28.91;0.69;13.83;3.31;Droite;49.61;;;2642.0;1028.38244514101;985.999999999949;36.025078369906;304.03;8.69;1486.21172204065;84.0431618924391;1402.16856014821;399.431131140904;5.65;31460.0;9.45;2.0;80.0;18570.0;53600.0;2.9;83;2639;66.0;;
2017_legi_t1;2017;legi;69034;Caluire-Et-Cuire;Centre;11.95;3.12;36.98;25.16;0.56;17.96;4.27;Droite;48.13;;;42915.0;21797.8207375019;19679.5798235131;1620.76527796791;4106.7;10.45;20996.5455978227;1896.8189632959;19099.7266345268;5354.29513337104;9.03;25010.0;10.0;2.7;66.0;12850.0;49270.0;3.8;4132;39055;1972.0;;
2017_legi_t1;2017;legi;69035;Cenves;Centre;8.27;3.76;24.81;36.09;0.75;22.56;3.76;Extreme droite;43.93;;;399.0;242.09225413403;167.425587467363;30.4561403508772;15.07;26.48;203.505128579945;9.3824370296919;194.122691550253;48.4696705046812;4.61;22490.0;9.45;2.7;65.0;14235.0;41635.0;3.0;6;385;0.0;;
2017_legi_t1;2017;legi;69036;Cercié;Droite;7.74;2.69;27.95;45.45;3.37;8.42;4.38;Extreme droite;42.93;;;1123.0;490.043222003929;430.0;49.8664047151277;227.33;4.94;555.737825199228;35.9466413194455;519.791183879782;159.141468844862;6.47;22280.0;9.45;2.7;65.0;14235.0;41635.0;3.0;37;1091;0.0;;
2017_legi_t1;2017;legi;69037;Chambost-Allières;Droite;8.94;4.88;29.67;36.59;0.41;16.26;3.25;Extreme droite;45.47;;;833.0;449.927272727276;347.000000000003;61.5545454545455;58.91;14.14;422.827534505045;32.6280750754438;390.199459429601;94.7929271894576;7.72;20970.0;9.45;2.7;65.0;14235.0;41635.0;3.0;25;814;0.0;;
2017_legi_t1;2017;legi;69038;Chambost-Longessaigne;Centre;8.31;0.66;33.55;38.21;1.33;8.64;9.3;Droite;48.1;;;939.0;515.455080789576;393.42017319204;56.0700926799489;60.82;15.44;461.333398546155;32.6559203337542;428.677478212401;108.167431033044;7.08;20160.0;9.45;2.7;65.0;14235.0;41635.0;3.0;30;908;0.0;;
2017_legi_t1;2017;legi;69039;Chamelet;Droite;12.29;5.51;30.08;29.24;2.12;15.68;5.08;Droite;46.77;;;669.0;341.314575117134;279.567448680352;29.9655172413793;46.36;14.43;352.172885718147;20.8364997354397;331.336385982707;80.8679682854111;5.92;21410.0;9.45;2.7;65.0;14235.0;41635.0;3.0;36;646;0.0;;
2017_legi_t1;2017;legi;69040;Champagne-Au-Mont-D'Or;Centre;14.08;2.6;34.28;30.18;1.04;15.18;2.65;Droite;47.42;;;5603.0;2802.31797213785;2571.94608740265;185.277813680652;2163.32;2.59;2909.67899978308;258.183792183617;2651.49520759946;792.381302099607;8.87;25510.0;9.0;2.9;66.0;13190.0;49580.0;3.8;521;5005;362.0;;
2017_legi_t1;2017;legi;69042;La Chapelle-Sur-Coise;Centre;8.29;2.93;39.02;38.54;0.49;8.78;1.95;Droite;53.81;;;578.0;237.386225266363;216.750000000001;13.1321433513214;87.84;6.58;314.922841238861;9.95464535542694;304.968195883434;75.3769610620846;3.16;22180.0;9.45;2.7;65.0;14235.0;41635.0;3.0;11;562;0.0;;
2017_legi_t1;2017;legi;69043;Chaponost;Centre;14.2;2.09;35.8;28.08;0.53;16.28;3.02;Droite;52.16;;;8577.0;3615.61948158225;3384.79611201703;167.018535701661;525.55;16.32;4141.54060693686;281.811976485399;3859.72863045146;1216.26925414244;6.8;28660.0;5.0;2.3;72.0;15520.0;52220.0;3.4;426;8291;272.0;;
2017_legi_t1;2017;legi;69044;Charbonnières-Les-Bains;Centre;15.48;2.52;49.53;20.99;0.05;10.16;1.28;Droite;53.08;;;5016.0;2244.15004336516;2108.00000000003;103.636600173461;1214.53;4.13;2324.12616417483;201.525649934547;2122.60051424028;759.870862450426;8.67;34680.0;5.0;2.2;77.0;16380.0;70010.0;4.3;326;4741;170.0;;
2017_legi_t1;2017;legi;69045;Charentay;Centre;10.08;2.92;29.18;38.73;1.33;14.06;3.71;Extreme droite;47.63;;;1240.0;546.909620452714;486.406888212277;37.9270858820651;89.99;13.78;664.815348935632;35.3776703610479;629.437678574584;140.638087538944;5.32;22680.0;9.45;2.7;65.0;14235.0;41635.0;3.0;36;1204;0.0;;
2017_legi_t1;2017;legi;69046;Charly;Centre;14.51;2.34;37.44;25.89;0.39;15.96;3.46;Droite;50.83;;;4529.0;1800.33783783765;1718.99999999981;69.8671171171171;889.78;5.09;2137.77443766575;155.722774064023;1982.05166360172;609.352506401062;7.28;31190.0;9.45;2.0;77.0;17300.0;56840.0;3.3;186;4355;129.0;;
2017_legi_t1;2017;legi;69047;Charnay;Centre;13.76;2.75;31.19;33.33;0.31;14.98;3.67;Droite;46.27;;;1062.0;476.150189004659;399.697251991212;34.4970569450917;150.42;7.06;458.890711790011;21.1122003726579;437.778511417353;85.8637992077832;4.6;29270.0;9.45;2.7;65.0;14235.0;41635.0;3.0;44;1013;0.0;;
