id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2017_pres_t1;2017;pres;1;69001;Affoux;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;1;0.39;0.44
2017_pres_t1;2017;pres;1;69001;Affoux;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;3;1.16;1.32
2017_pres_t1;2017;pres;1;69001;Affoux;CHEMINADE;DIV;Solidarite et Progres;Divers;0;0.0;0.0
2017_pres_t1;2017;pres;1;69001;Affoux;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;15;5.79;6.61
2017_pres_t1;2017;pres;1;69001;Affoux;FILLON;LR;Les Republicains;Droite;46;17.76;20.26
2017_pres_t1;2017;pres;1;69001;Affoux;HAMON;SOC;Parti Socialiste;Gauche;7;2.7;3.08
2017_pres_t1;2017;pres;1;69001;Affoux;LASSALLE;DIV;Resistons;Divers;6;2.32;2.64
2017_pres_t1;2017;pres;1;69001;Affoux;LE PEN;RN;Rassemblement National;Extreme droite;75;28.96;33.04
2017_pres_t1;2017;pres;1;69001;Affoux;MACRON;ENS;En Marche / Renaissance;Centre;46;17.76;20.26
2017_pres_t1;2017;pres;1;69001;Affoux;MÉLENCHON;FI;La France Insoumise;Gauche radicale;24;9.27;10.57
2017_pres_t1;2017;pres;1;69001;Affoux;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;4;1.54;1.76
2017_pres_t1;2017;pres;1;69002;Aigueperse;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;0;0.0;0.0
2017_pres_t1;2017;pres;1;69002;Aigueperse;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;0;0.0;0.0
2017_pres_t1;2017;pres;1;69002;Aigueperse;CHEMINADE;DIV;Solidarite et Progres;Divers;1;0.45;0.59
2017_pres_t1;2017;pres;1;69002;Aigueperse;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;13;5.8;7.65
2017_pres_t1;2017;pres;1;69002;Aigueperse;FILLON;LR;Les Republicains;Droite;48;21.43;28.24
2017_pres_t1;2017;pres;1;69002;Aigueperse;HAMON;SOC;Parti Socialiste;Gauche;5;2.23;2.94
2017_pres_t1;2017;pres;1;69002;Aigueperse;LASSALLE;DIV;Resistons;Divers;1;0.45;0.59
2017_pres_t1;2017;pres;1;69002;Aigueperse;LE PEN;RN;Rassemblement National;Extreme droite;50;22.32;29.41
2017_pres_t1;2017;pres;1;69002;Aigueperse;MACRON;ENS;En Marche / Renaissance;Centre;34;15.18;20.0
2017_pres_t1;2017;pres;1;69002;Aigueperse;MÉLENCHON;FI;La France Insoumise;Gauche radicale;15;6.7;8.82
2017_pres_t1;2017;pres;1;69002;Aigueperse;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;3;1.34;1.76
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;4;0.24;0.3
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;10;0.6;0.76
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;CHEMINADE;DIV;Solidarite et Progres;Divers;2;0.12;0.15
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;73;4.38;5.53
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;FILLON;LR;Les Republicains;Droite;343;20.6;25.98
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;HAMON;SOC;Parti Socialiste;Gauche;83;4.98;6.29
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;LASSALLE;DIV;Resistons;Divers;10;0.6;0.76
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;LE PEN;RN;Rassemblement National;Extreme droite;239;14.35;18.11
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;MACRON;ENS;En Marche / Renaissance;Centre;338;20.3;25.61
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;MÉLENCHON;FI;La France Insoumise;Gauche radicale;203;12.19;15.38
2017_pres_t1;2017;pres;1;69003;Albigny-Sur-Saône;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;15;0.9;1.14
2017_pres_t1;2017;pres;1;69004;Alix;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;3;0.66;0.83
