id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2019_euro_t1;2019;euro;1;69001;Affoux;ALLIANCE JAUNE;LDIV;Gilets Jaunes;Divers;2;0.72;1.41
2019_euro_t1;2019;euro;1;69001;Affoux;ALLONS ENFANTS;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69001;Affoux;DEBOUT LA FRANCE;LDLF;Debout la France;Droite souverainiste;4;1.44;2.82
2019_euro_t1;2019;euro;1;69001;Affoux;DÉCROISSANCE 2019;LECO;Decroissance;Ecologie;1;0.36;0.7
2019_euro_t1;2019;euro;1;69001;Affoux;DÉMOCRATIE REPRÉSENTATIVE;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69001;Affoux;ENSEMBLE PATRIOTES;LDLF;Patriotes;Droite souverainiste;0;0.0;0.0
2019_euro_t1;2019;euro;1;69001;Affoux;ENSEMBLE POUR LE FREXIT;LDLF;Souverainiste;Droite souverainiste;2;0.72;1.41
2019_euro_t1;2019;euro;1;69001;Affoux;ENVIE D'EUROPE;LSOC;Parti Socialiste;Gauche;4;1.44;2.82
2019_euro_t1;2019;euro;1;69001;Affoux;ESPERANTO;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69001;Affoux;EUROPE AU SERVICE PEUPLES;LFG;Front de Gauche / NUPES;Gauche radicale;0;0.0;0.0
2019_euro_t1;2019;euro;1;69001;Affoux;EUROPE ÉCOLOGIE;LECO;Europe Ecologie Les Verts;Ecologie;12;4.33;8.45
2019_euro_t1;2019;euro;1;69001;Affoux;INITIATIVE CITOYENNE;LDVG;Divers gauche;Gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69001;Affoux;LA FRANCE INSOUMISE;LFI;La France Insoumise;Gauche radicale;7;2.53;4.93
2019_euro_t1;2019;euro;1;69001;Affoux;LA LIGNE CLAIRE;LEXD;Extreme droite;Extreme droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69001;Affoux;LES EUROPÉENS;LENS;Ensemble (Renaissance / LREM);Centre;5;1.81;3.52
2019_euro_t1;2019;euro;1;69001;Affoux;LES OUBLIES DE L'EUROPE;LDIV;Divers;Divers;2;0.72;1.41
